dataset,frame,pred_class,conf,tip_x,tip_y,gt_x,gt_y,gt_instrument,err_px,depth_mm,err_mm
3,frame223,Large_Needle_Driver_Right,0.941,973.9,289.8,921.3,252.5,Right_Large_Needle_Driver_labels,64.47,,
3,frame224,Large_Needle_Driver_Left,0.956,790.6,431.9,716.8,440.2,Left_Large_Needle_Driver_labels,74.26,,
4,frame169,Large_Needle_Driver_Right,0.943,1099.4,386.1,1073.5,364.7,Large_Needle_Driver_Right_labels,33.65,82.5,2.48
4,frame169,Large_Needle_Driver_Left,0.469,698.8,487.7,703.9,489.4,Large_Needle_Driver_Left_labels,5.34,,
4,frame169,Large_Needle_Driver_Left,0.455,597.0,555.7,703.9,489.4,Large_Needle_Driver_Left_labels,125.81,69.8,7.84
4,frame170,Large_Needle_Driver_Right,0.940,1131.2,382.7,1118.7,370.8,Large_Needle_Driver_Right_labels,17.29,79.3,1.22
4,frame170,Large_Needle_Driver_Left,0.560,596.9,556.1,703.8,488.8,Large_Needle_Driver_Left_labels,126.38,70.3,7.93
4,frame170,Large_Needle_Driver_Left,0.355,702.5,489.7,703.8,488.8,Large_Needle_Driver_Left_labels,1.62,,
4,frame171,Large_Needle_Driver_Left,0.935,984.6,493.8,1021.2,501.1,Large_Needle_Driver_Left_labels,37.36,88.4,2.95
4,frame171,Large_Needle_Driver_Right,0.841,1341.1,440.3,1413.6,440.9,Large_Needle_Driver_Right_labels,72.49,74.7,4.83
4,frame172,Large_Needle_Driver_Left,0.942,1114.3,473.1,1203.6,482.4,Large_Needle_Driver_Left_labels,89.70,71.4,5.71
4,frame172,Large_Needle_Driver_Right,0.903,1325.8,473.4,1395.0,476.3,Large_Needle_Driver_Right_labels,69.29,69.5,4.30
4,frame173,Large_Needle_Driver_Right,0.957,1185.3,506.0,1155.5,521.4,Large_Needle_Driver_Right_labels,33.60,95.6,2.87
4,frame173,Large_Needle_Driver_Left,0.878,735.7,233.7,750.6,215.5,Large_Needle_Driver_Left_labels,23.53,,
4,frame174,Large_Needle_Driver_Left,0.926,731.9,341.6,798.0,341.7,Large_Needle_Driver_Left_labels,66.16,75.1,4.43
4,frame174,Large_Needle_Driver_Left,0.565,976.8,187.1,946.0,179.9,Large_Needle_Driver_Right_labels,31.64,56.9,1.61
4,frame174,Large_Needle_Driver_Right,0.511,976.6,187.1,946.0,179.9,Large_Needle_Driver_Right_labels,31.49,56.9,1.60
4,frame175,Large_Needle_Driver_Right,0.971,970.5,248.5,929.5,229.0,Large_Needle_Driver_Right_labels,45.49,57.3,2.33
4,frame175,Large_Needle_Driver_Left,0.904,716.9,363.8,815.9,334.5,Large_Needle_Driver_Left_labels,103.28,63.4,5.84
4,frame176,Large_Needle_Driver_Right,0.861,1268.7,465.9,1136.3,433.2,Large_Needle_Driver_Right_labels,136.40,,
4,frame176,Large_Needle_Driver_Left,0.804,796.3,248.8,847.8,227.2,Large_Needle_Driver_Left_labels,55.90,67.8,3.38
4,frame177,Large_Needle_Driver_Right,0.974,1019.2,442.2,975.1,445.2,Large_Needle_Driver_Right_labels,44.20,71.6,2.83
4,frame177,Large_Needle_Driver_Left,0.924,818.6,223.2,830.6,200.7,Large_Needle_Driver_Left_labels,25.49,69.4,1.58
4,frame178,Large_Needle_Driver_Right,0.920,1129.4,245.1,1146.0,224.1,Large_Needle_Driver_Right_labels,26.77,69.4,1.66
4,frame178,Large_Needle_Driver_Left,0.481,760.4,403.0,743.2,387.0,Large_Needle_Driver_Left_labels,23.46,65.1,1.36
4,frame179,Large_Needle_Driver_Left,0.937,890.9,454.9,900.7,455.5,Large_Needle_Driver_Left_labels,9.83,66.5,0.58
4,frame179,Large_Needle_Driver_Right,0.885,1111.1,223.0,1118.4,198.6,Large_Needle_Driver_Right_labels,25.45,69.7,1.58
4,frame180,Large_Needle_Driver_Left,0.715,951.4,401.8,972.9,416.4,Large_Needle_Driver_Left_labels,26.01,70.7,1.64
4,frame180,Large_Needle_Driver_Right,0.594,1084.9,328.2,1017.3,340.0,Large_Needle_Driver_Right_labels,68.68,64.2,3.93
4,frame181,Large_Needle_Driver_Right,0.924,1213.7,397.4,1106.2,347.4,Large_Needle_Driver_Right_labels,118.51,68.7,7.26
4,frame181,Large_Needle_Driver_Left,0.633,846.5,322.6,845.6,302.3,Large_Needle_Driver_Left_labels,20.25,70.4,1.27
4,frame182,Large_Needle_Driver_Left,0.901,907.9,342.5,905.9,324.6,Large_Needle_Driver_Left_labels,18.04,76.1,1.23
4,frame182,Large_Needle_Driver_Right,0.861,1063.6,351.9,1062.3,340.5,Large_Needle_Driver_Right_labels,11.49,73.6,0.75
4,frame183,Large_Needle_Driver_Left,0.928,902.0,358.0,932.4,338.6,Large_Needle_Driver_Left_labels,36.06,69.4,2.23
4,frame183,Large_Needle_Driver_Right,0.756,1057.2,379.2,1056.6,361.3,Large_Needle_Driver_Right_labels,17.89,65.4,1.04
4,frame184,Large_Needle_Driver_Left,0.860,918.5,376.4,953.6,358.8,Large_Needle_Driver_Left_labels,39.23,68.1,2.39
4,frame184,Large_Needle_Driver_Right,0.724,1097.2,390.4,1090.8,365.5,Large_Needle_Driver_Right_labels,25.71,69.3,1.59
4,frame185,Large_Needle_Driver_Right,0.945,1081.7,377.6,1124.9,363.8,Large_Needle_Driver_Right_labels,45.35,75.8,3.07
4,frame185,Large_Needle_Driver_Left,0.894,781.7,480.1,782.4,477.9,Large_Needle_Driver_Left_labels,2.22,76.3,0.15
4,frame186,Large_Needle_Driver_Right,0.957,1118.5,392.9,1135.6,381.9,Large_Needle_Driver_Right_labels,20.23,67.7,1.22
4,frame186,Large_Needle_Driver_Left,0.770,684.9,485.8,816.1,442.1,Large_Needle_Driver_Left_labels,138.28,69.5,8.57
4,frame187,Large_Needle_Driver_Right,0.962,1106.7,382.5,1090.7,397.2,Large_Needle_Driver_Right_labels,21.76,63.8,1.24
4,frame187,Large_Needle_Driver_Left,0.714,780.0,438.1,788.2,436.0,Large_Needle_Driver_Left_labels,8.54,73.5,0.56
4,frame187,Large_Needle_Driver_Left,0.316,670.3,482.2,788.2,436.0,Large_Needle_Driver_Left_labels,126.62,61.1,6.90
4,frame188,Large_Needle_Driver_Right,0.965,1054.2,353.4,1036.2,377.1,Large_Needle_Driver_Right_labels,29.71,70.7,1.87
4,frame188,Large_Needle_Driver_Left,0.900,781.3,492.3,800.4,495.1,Large_Needle_Driver_Left_labels,19.30,74.5,1.28
4,frame189,Large_Needle_Driver_Right,0.969,1064.2,357.2,1044.8,375.7,Large_Needle_Driver_Right_labels,26.82,71.4,1.71
4,frame189,Large_Needle_Driver_Left,0.854,815.7,561.3,837.8,584.7,Large_Needle_Driver_Left_labels,32.26,84.0,2.42
4,frame190,Large_Needle_Driver_Right,0.968,1056.3,355.8,1040.0,370.0,Large_Needle_Driver_Right_labels,21.67,71.1,1.37
4,frame190,Large_Needle_Driver_Left,0.940,867.8,427.0,898.6,430.1,Large_Needle_Driver_Left_labels,30.91,86.6,2.39
4,frame191,Large_Needle_Driver_Right,0.964,1042.1,340.6,1010.9,364.4,Large_Needle_Driver_Right_labels,39.22,66.3,2.32
4,frame191,Large_Needle_Driver_Left,0.946,876.4,402.4,918.0,398.7,Large_Needle_Driver_Left_labels,41.78,84.4,3.15
4,frame192,Large_Needle_Driver_Right,0.970,1000.1,380.9,978.4,399.2,Large_Needle_Driver_Right_labels,28.34,76.1,1.93
4,frame192,Large_Needle_Driver_Left,0.957,868.8,396.4,919.3,392.5,Large_Needle_Driver_Left_labels,50.63,82.5,3.73
4,frame193,Large_Needle_Driver_Right,0.964,1025.5,416.3,995.1,418.3,Large_Needle_Driver_Right_labels,30.42,78.0,2.12
4,frame193,Large_Needle_Driver_Left,0.952,877.2,396.7,914.7,391.7,Large_Needle_Driver_Left_labels,37.89,83.9,2.84
4,frame194,Large_Needle_Driver_Right,0.964,1010.6,478.2,984.2,474.8,Large_Needle_Driver_Right_labels,26.59,80.2,1.90
4,frame194,Large_Needle_Driver_Left,0.938,842.3,389.6,883.9,385.7,Large_Needle_Driver_Left_labels,41.87,85.4,3.19
4,frame195,Large_Needle_Driver_Right,0.970,1006.5,498.7,962.6,497.1,Large_Needle_Driver_Right_labels,43.90,79.9,3.13
4,frame195,Large_Needle_Driver_Left,0.899,783.6,395.2,798.9,386.6,Large_Needle_Driver_Left_labels,17.51,,
4,frame196,Large_Needle_Driver_Right,0.969,1009.0,491.0,961.0,487.0,Large_Needle_Driver_Right_labels,48.09,79.9,3.43
4,frame196,Large_Needle_Driver_Left,0.923,859.6,443.6,889.3,420.7,Large_Needle_Driver_Left_labels,37.50,81.4,2.72
4,frame197,Large_Needle_Driver_Right,0.962,1008.4,445.5,1008.9,430.1,Large_Needle_Driver_Right_labels,15.41,72.7,1.00
4,frame197,Large_Needle_Driver_Left,0.935,832.0,434.2,875.6,437.0,Large_Needle_Driver_Left_labels,43.68,82.4,3.21
4,frame198,Large_Needle_Driver_Right,0.967,1028.1,430.2,1001.0,441.3,Large_Needle_Driver_Right_labels,29.33,78.7,2.06
4,frame198,Large_Needle_Driver_Left,0.530,630.2,309.0,610.3,292.5,Large_Needle_Driver_Left_labels,25.82,77.3,1.78
4,frame199,Large_Needle_Driver_Right,0.967,949.6,516.5,874.6,517.6,Large_Needle_Driver_Right_labels,75.03,68.9,4.61
4,frame199,Large_Needle_Driver_Left,0.393,689.6,283.7,790.8,314.4,Large_Needle_Driver_Left_labels,105.77,77.3,7.30
4,frame200,Large_Needle_Driver_Right,0.967,904.5,545.4,887.7,560.1,Large_Needle_Driver_Right_labels,22.30,58.7,1.17
4,frame200,Prograsp_Forceps_Right,0.797,810.2,337.1,839.7,323.4,Large_Needle_Driver_Left_labels,32.51,94.0,2.73
4,frame201,Large_Needle_Driver_Left,0.949,841.4,347.4,880.4,338.2,Large_Needle_Driver_Left_labels,40.03,87.4,3.12
4,frame201,Large_Needle_Driver_Right,0.945,901.1,541.2,877.7,562.0,Large_Needle_Driver_Right_labels,31.32,58.5,1.64
4,frame202,Large_Needle_Driver_Left,0.943,832.7,347.9,879.4,338.5,Large_Needle_Driver_Left_labels,47.60,86.9,3.69
4,frame202,Large_Needle_Driver_Right,0.841,934.6,513.9,876.6,561.0,Large_Needle_Driver_Right_labels,74.73,58.8,3.92
4,frame203,Large_Needle_Driver_Right,0.970,898.3,533.9,880.3,550.5,Large_Needle_Driver_Right_labels,24.48,60.1,1.31
4,frame203,Large_Needle_Driver_Left,0.941,839.9,347.5,878.1,337.8,Large_Needle_Driver_Left_labels,39.47,87.1,3.07
4,frame204,Large_Needle_Driver_Right,0.962,895.5,531.8,876.9,549.7,Large_Needle_Driver_Right_labels,25.75,60.1,1.38
4,frame204,Large_Needle_Driver_Left,0.952,837.8,346.2,878.8,338.6,Large_Needle_Driver_Left_labels,41.69,87.0,3.24
4,frame205,Large_Needle_Driver_Right,0.969,901.2,535.8,882.5,551.9,Large_Needle_Driver_Right_labels,24.66,60.6,1.33
4,frame205,Prograsp_Forceps_Right,0.503,544.6,251.3,620.9,306.6,Large_Needle_Driver_Left_labels,94.20,86.8,7.30
4,frame205,Prograsp_Forceps_Right,0.289,613.7,317.0,620.9,306.6,Large_Needle_Driver_Left_labels,12.67,129.7,1.47
4,frame206,Large_Needle_Driver_Right,0.971,893.6,533.4,873.6,548.8,Large_Needle_Driver_Right_labels,25.22,60.9,1.37
4,frame206,Large_Needle_Driver_Left,0.881,658.5,559.8,612.2,539.9,Large_Needle_Driver_Left_labels,50.37,,
4,frame207,Large_Needle_Driver_Right,0.963,1073.3,372.6,1065.5,366.9,Large_Needle_Driver_Right_labels,9.64,72.6,0.62
4,frame207,Large_Needle_Driver_Left,0.938,787.0,281.8,801.1,273.6,Large_Needle_Driver_Left_labels,16.27,60.9,0.89
4,frame208,Large_Needle_Driver_Right,0.970,932.1,450.6,892.7,454.6,Large_Needle_Driver_Right_labels,39.66,,
4,frame208,Large_Needle_Driver_Left,0.956,833.1,233.9,863.3,225.0,Large_Needle_Driver_Left_labels,31.44,69.8,1.96
4,frame209,Large_Needle_Driver_Right,0.974,1019.8,564.9,941.8,610.7,Large_Needle_Driver_Right_labels,90.46,57.2,4.62
4,frame209,Large_Needle_Driver_Left,0.905,841.4,283.8,880.3,282.4,Large_Needle_Driver_Left_labels,38.90,83.7,2.91
4,frame210,Large_Needle_Driver_Right,0.959,1058.7,613.1,965.9,686.8,Large_Needle_Driver_Right_labels,118.56,53.5,5.66
4,frame210,Large_Needle_Driver_Left,0.919,825.1,293.1,877.2,300.7,Large_Needle_Driver_Left_labels,52.70,87.0,4.09
4,frame210,Prograsp_Forceps_Left,0.266,911.4,922.6,1055.8,949.6,Prograsp_Forceps_labels,146.90,54.8,7.19
4,frame211,Large_Needle_Driver_Left,0.917,798.8,336.8,827.9,339.9,Large_Needle_Driver_Left_labels,29.23,95.5,2.49
4,frame211,Prograsp_Forceps_Right,0.365,909.1,925.7,1055.7,951.9,Prograsp_Forceps_labels,148.93,54.6,7.26
4,frame211,Prograsp_Forceps_Left,0.280,908.4,925.7,1055.7,951.9,Prograsp_Forceps_labels,149.66,54.6,7.30
4,frame212,Large_Needle_Driver_Right,0.965,972.1,505.3,951.9,512.3,Large_Needle_Driver_Right_labels,21.40,62.9,1.20
4,frame212,Large_Needle_Driver_Left,0.933,800.2,341.5,819.1,339.0,Large_Needle_Driver_Left_labels,19.03,101.5,1.72
4,frame213,Large_Needle_Driver_Right,0.886,1057.3,348.0,1063.0,335.4,Large_Needle_Driver_Right_labels,13.87,65.9,0.82
4,frame213,Large_Needle_Driver_Right,0.714,777.1,174.1,758.8,142.7,Large_Needle_Driver_Left_labels,36.36,,
4,frame214,Large_Needle_Driver_Right,0.965,973.5,312.1,973.4,294.7,Large_Needle_Driver_Right_labels,17.37,64.1,0.99
4,frame214,Prograsp_Forceps_Right,0.735,752.5,190.9,806.8,181.5,Large_Needle_Driver_Left_labels,55.11,81.2,3.99
4,frame215,Large_Needle_Driver_Right,0.966,933.9,193.3,908.7,155.7,Large_Needle_Driver_Right_labels,45.31,65.4,2.65
4,frame216,Large_Needle_Driver_Left,0.943,701.8,262.4,831.2,326.6,Large_Needle_Driver_Left_labels,144.42,51.3,6.61
4,frame216,Large_Needle_Driver_Right,0.917,960.2,212.4,944.6,185.0,Large_Needle_Driver_Right_labels,31.50,69.7,1.96
4,frame217,Large_Needle_Driver_Right,0.956,1033.8,145.5,1028.4,106.3,Large_Needle_Driver_Right_labels,39.57,54.9,1.94
4,frame217,Large_Needle_Driver_Left,0.947,837.9,368.5,866.7,382.5,Large_Needle_Driver_Left_labels,32.01,88.7,2.53
4,frame218,Large_Needle_Driver_Left,0.640,1138.6,168.8,1106.9,250.3,Large_Needle_Driver_Left_labels,87.42,54.0,4.21
4,frame219,Large_Needle_Driver_Right,0.954,1098.1,235.9,1088.0,209.2,Large_Needle_Driver_Right_labels,28.49,69.8,1.77
4,frame219,Large_Needle_Driver_Left,0.916,759.3,326.1,758.5,315.3,Large_Needle_Driver_Left_labels,10.88,66.7,0.65
4,frame219,Large_Needle_Driver_Left,0.367,647.2,324.1,758.5,315.3,Large_Needle_Driver_Left_labels,111.64,61.4,6.11
4,frame220,Large_Needle_Driver_Right,0.951,1108.5,214.3,1101.9,191.6,Large_Needle_Driver_Right_labels,23.60,65.8,1.39
4,frame220,Large_Needle_Driver_Left,0.940,827.6,358.7,849.3,360.9,Large_Needle_Driver_Left_labels,21.73,66.0,1.28
4,frame221,Large_Needle_Driver_Right,0.946,1120.8,323.0,1125.7,300.6,Large_Needle_Driver_Right_labels,22.90,67.8,1.38
4,frame221,Large_Needle_Driver_Left,0.789,797.6,313.6,828.7,309.8,Large_Needle_Driver_Left_labels,31.30,65.4,1.83
4,frame222,Large_Needle_Driver_Right,0.969,1143.2,362.5,1107.1,367.9,Large_Needle_Driver_Right_labels,36.41,67.4,2.19
4,frame222,Large_Needle_Driver_Left,0.921,864.8,363.7,880.2,364.9,Large_Needle_Driver_Left_labels,15.47,72.6,1.00
4,frame223,Large_Needle_Driver_Right,0.951,1105.6,378.1,1118.6,370.7,Large_Needle_Driver_Right_labels,14.97,78.6,1.05
4,frame223,Large_Needle_Driver_Left,0.934,869.3,339.2,899.1,345.6,Large_Needle_Driver_Left_labels,30.45,75.0,2.04
4,frame224,Large_Needle_Driver_Right,0.964,1110.5,376.1,1104.8,367.2,Large_Needle_Driver_Right_labels,10.51,75.8,0.71
4,frame224,Large_Needle_Driver_Left,0.895,824.2,349.3,832.2,344.4,Large_Needle_Driver_Left_labels,9.42,71.5,0.60
5,frame169,Bipolar_Forceps,0.944,880.1,792.1,796.4,776.4,Bipolar_Forceps_labels,85.18,57.4,4.28
5,frame170,Bipolar_Forceps,0.914,694.5,114.2,610.9,120.3,Bipolar_Forceps_labels,83.79,52.5,3.85
5,frame171,Bipolar_Forceps,0.624,585.8,97.4,495.4,110.1,Bipolar_Forceps_labels,91.34,63.0,5.03
5,frame171,Large_Needle_Driver_Left,0.275,580.5,99.2,495.4,110.1,Bipolar_Forceps_labels,85.79,,
5,frame172,Bipolar_Forceps,0.920,682.2,101.6,569.0,107.1,Bipolar_Forceps_labels,113.29,,
5,frame173,Bipolar_Forceps,0.924,708.3,158.3,586.8,148.5,Bipolar_Forceps_labels,121.93,52.9,5.64
5,frame174,Bipolar_Forceps,0.913,759.4,241.5,626.3,235.9,Bipolar_Forceps_labels,133.13,60.8,7.08
5,frame175,Bipolar_Forceps,0.911,952.0,473.0,1013.3,444.4,Bipolar_Forceps_labels,67.72,65.9,3.91
5,frame176,Bipolar_Forceps,0.899,905.4,428.0,958.5,397.4,Bipolar_Forceps_labels,61.30,83.9,4.50
5,frame177,Bipolar_Forceps,0.941,858.7,295.2,898.2,279.1,Bipolar_Forceps_labels,42.62,,
5,frame178,Bipolar_Forceps,0.935,779.4,279.3,826.0,259.5,Bipolar_Forceps_labels,50.65,62.4,2.77
5,frame179,Bipolar_Forceps,0.928,838.7,246.5,881.7,225.0,Bipolar_Forceps_labels,48.05,65.3,2.74
5,frame180,Bipolar_Forceps,0.700,694.4,138.0,740.4,116.3,Bipolar_Forceps_labels,50.89,59.8,2.66
5,frame181,Bipolar_Forceps,0.925,781.2,182.0,821.4,157.6,Bipolar_Forceps_labels,47.06,,
5,frame182,Bipolar_Forceps,0.733,597.6,129.3,604.5,80.0,Bipolar_Forceps_labels,49.78,64.1,2.79
5,frame184,Bipolar_Forceps,0.814,900.7,464.0,949.6,456.0,Bipolar_Forceps_labels,49.49,58.0,2.51
5,frame184,Large_Needle_Driver_Left,0.499,891.9,468.0,949.6,456.0,Bipolar_Forceps_labels,58.93,57.4,2.96
5,frame185,Bipolar_Forceps,0.957,877.0,401.4,927.2,347.9,Bipolar_Forceps_labels,73.32,78.0,5.00
5,frame186,Bipolar_Forceps,0.866,848.1,258.9,938.3,211.6,Bipolar_Forceps_labels,101.80,64.6,5.75
5,frame187,Bipolar_Forceps,0.890,919.0,233.3,1032.9,192.4,Bipolar_Forceps_labels,121.01,58.0,6.14
5,frame188,Bipolar_Forceps,0.531,933.0,172.9,1027.9,130.4,Bipolar_Forceps_labels,103.94,,
5,frame190,Bipolar_Forceps,0.588,1113.7,432.2,1145.1,408.2,Bipolar_Forceps_labels,39.53,59.0,2.04
5,frame190,Large_Needle_Driver_Left,0.574,1107.8,436.3,1145.1,408.2,Bipolar_Forceps_labels,46.72,59.9,2.45
5,frame191,Bipolar_Forceps,0.874,919.3,388.1,1011.7,350.5,Bipolar_Forceps_labels,99.72,67.6,5.90
5,frame192,Large_Needle_Driver_Left,0.911,968.0,270.7,1036.9,245.5,Bipolar_Forceps_labels,73.39,,
5,frame193,Bipolar_Forceps,0.563,994.7,324.0,1045.5,298.5,Bipolar_Forceps_labels,56.86,64.0,3.18
5,frame194,Bipolar_Forceps,0.769,987.9,325.0,989.5,314.7,Bipolar_Forceps_labels,10.45,60.7,0.55
5,frame194,Large_Needle_Driver_Left,0.461,992.1,323.0,989.5,314.7,Bipolar_Forceps_labels,8.73,60.8,0.46
5,frame195,Large_Needle_Driver_Left,0.951,1011.3,363.2,1060.6,347.0,Bipolar_Forceps_labels,51.93,59.6,2.71
5,frame196,Large_Needle_Driver_Left,0.707,1033.0,344.9,1128.5,236.0,Bipolar_Forceps_labels,144.82,68.0,8.61
5,frame198,Large_Needle_Driver_Left,0.901,1091.1,272.1,1103.6,264.5,Bipolar_Forceps_labels,14.69,81.7,1.05
5,frame199,Large_Needle_Driver_Left,0.767,1037.8,315.8,1120.3,244.8,Bipolar_Forceps_labels,108.86,52.5,5.00
5,frame203,Large_Needle_Driver_Left,0.697,1098.9,269.7,1086.8,257.3,Bipolar_Forceps_labels,17.27,127.4,1.92
5,frame217,Bipolar_Forceps,0.563,1029.9,406.6,969.3,398.4,Bipolar_Forceps_labels,61.10,71.3,3.81
5,frame217,Large_Needle_Driver_Left,0.489,1031.5,407.1,969.3,398.4,Bipolar_Forceps_labels,62.78,71.2,3.91
5,frame221,Bipolar_Forceps,0.381,729.4,327.5,595.6,364.9,Bipolar_Forceps_labels,138.94,70.5,8.57
5,frame222,Bipolar_Forceps,0.348,774.2,326.1,665.3,358.6,Bipolar_Forceps_labels,113.66,67.0,6.66
5,frame222,Bipolar_Forceps,0.281,600.5,370.3,665.3,358.6,Bipolar_Forceps_labels,65.80,52.5,3.02
5,frame223,Bipolar_Forceps,0.430,713.3,303.3,689.7,294.9,Bipolar_Forceps_labels,25.11,82.9,1.82
5,frame224,Large_Needle_Driver_Left,0.452,620.4,276.3,638.0,242.2,Bipolar_Forceps_labels,38.44,,
5,frame224,Bipolar_Forceps,0.414,622.3,275.2,638.0,242.2,Bipolar_Forceps_labels,36.57,,
6,frame169,Large_Needle_Driver_Right,0.725,1337.9,254.7,1392.2,220.9,Right_Large_Needle_Driver_labels,63.92,54.3,3.07
6,frame170,Large_Needle_Driver_Left,0.924,705.2,503.1,636.1,496.6,Left_Large_Needle_Driver_labels,69.39,,
6,frame170,Large_Needle_Driver_Right,0.800,1382.6,311.4,1457.9,283.4,Right_Large_Needle_Driver_labels,80.39,,
6,frame171,Large_Needle_Driver_Right,0.618,1307.3,422.3,1368.0,411.7,Right_Large_Needle_Driver_labels,61.65,,
6,frame172,Large_Needle_Driver_Left,0.809,732.8,349.1,748.1,348.2,Left_Large_Needle_Driver_labels,15.36,67.7,0.92
6,frame173,Large_Needle_Driver_Right,0.961,1045.1,319.9,934.6,368.1,Right_Large_Needle_Driver_labels,120.53,,
6,frame173,Large_Needle_Driver_Left,0.886,763.6,380.5,808.9,416.1,Left_Large_Needle_Driver_labels,57.62,52.0,2.65
6,frame174,Large_Needle_Driver_Right,0.938,1034.6,318.5,920.5,371.4,Right_Large_Needle_Driver_labels,125.67,53.6,5.96
6,frame174,Large_Needle_Driver_Left,0.910,771.6,383.8,811.4,414.9,Left_Large_Needle_Driver_labels,50.41,52.0,2.32
6,frame175,Large_Needle_Driver_Right,0.750,1196.1,253.3,1242.0,238.2,Right_Large_Needle_Driver_labels,48.29,63.1,2.70
6,frame175,Large_Needle_Driver_Left,0.671,689.7,544.0,677.4,541.7,Left_Large_Needle_Driver_labels,12.50,,
6,frame176,Large_Needle_Driver_Right,0.357,670.4,421.0,694.3,434.3,Left_Large_Needle_Driver_labels,27.35,,
6,frame177,Large_Needle_Driver_Right,0.907,1092.2,377.7,1087.4,377.3,Right_Large_Needle_Driver_labels,4.82,,
6,frame177,Large_Needle_Driver_Left,0.595,650.3,440.5,644.4,448.3,Left_Large_Needle_Driver_labels,9.81,57.9,0.50
6,frame178,Large_Needle_Driver_Right,0.499,1119.5,318.2,994.1,334.0,Right_Large_Needle_Driver_labels,126.33,52.7,5.89
6,frame178,Large_Needle_Driver_Left,0.330,767.9,373.6,741.1,362.1,Left_Large_Needle_Driver_labels,29.18,53.6,1.38
6,frame179,Large_Needle_Driver_Right,0.693,950.3,349.0,900.5,362.0,Right_Large_Needle_Driver_labels,51.45,,
6,frame179,Large_Needle_Driver_Left,0.501,760.1,351.4,754.9,336.1,Left_Large_Needle_Driver_labels,16.24,60.4,0.87
6,frame180,Large_Needle_Driver_Left,0.837,724.6,390.4,771.6,383.1,Left_Large_Needle_Driver_labels,47.61,,
6,frame180,Large_Needle_Driver_Right,0.813,947.4,309.8,907.4,318.8,Right_Large_Needle_Driver_labels,40.95,,
6,frame180,Large_Needle_Driver_Left,0.610,944.2,310.9,907.4,318.8,Right_Large_Needle_Driver_labels,37.64,,
6,frame181,Large_Needle_Driver_Right,0.863,970.5,331.6,899.2,345.0,Right_Large_Needle_Driver_labels,72.53,,
6,frame181,Large_Needle_Driver_Left,0.465,746.3,371.4,776.4,346.6,Left_Large_Needle_Driver_labels,38.98,,
6,frame182,Large_Needle_Driver_Right,0.895,1198.2,325.8,1056.2,356.4,Right_Large_Needle_Driver_labels,145.28,55.6,7.15
6,frame182,Large_Needle_Driver_Left,0.271,836.1,375.1,843.4,371.5,Left_Large_Needle_Driver_labels,8.19,70.9,0.51
6,frame183,Large_Needle_Driver_Right,0.961,1134.7,453.3,1132.6,463.2,Right_Large_Needle_Driver_labels,10.14,98.9,0.89
6,frame183,Large_Needle_Driver_Left,0.326,723.5,543.0,689.1,527.1,Left_Large_Needle_Driver_labels,37.92,,
6,frame184,Large_Needle_Driver_Right,0.756,1134.4,480.4,1139.4,487.7,Right_Large_Needle_Driver_labels,8.80,,
6,frame184,Large_Needle_Driver_Right,0.369,1266.9,437.2,1139.4,487.7,Right_Large_Needle_Driver_labels,137.19,,
6,frame185,Large_Needle_Driver_Right,0.780,1105.2,855.2,1142.6,863.1,Right_Large_Needle_Driver_labels,38.23,,
6,frame186,Large_Needle_Driver_Right,0.587,1188.7,994.2,1219.3,1011.0,Right_Large_Needle_Driver_labels,34.93,,
6,frame186,Large_Needle_Driver_Left,0.384,830.8,421.2,855.4,421.8,Left_Large_Needle_Driver_labels,24.66,,
6,frame187,Large_Needle_Driver_Right,0.668,1460.5,1000.5,1531.5,1005.3,Right_Large_Needle_Driver_labels,71.11,52.0,3.27
6,frame187,Large_Needle_Driver_Left,0.315,792.1,400.0,799.9,396.4,Left_Large_Needle_Driver_labels,8.59,52.0,0.39
6,frame189,Large_Needle_Driver_Right,0.733,1221.3,957.7,1278.7,959.7,Right_Large_Needle_Driver_labels,57.42,52.5,2.67
6,frame189,Large_Needle_Driver_Left,0.369,740.3,241.6,747.1,227.4,Left_Large_Needle_Driver_labels,15.71,,
6,frame190,Large_Needle_Driver_Left,0.763,743.4,249.7,748.6,236.8,Left_Large_Needle_Driver_labels,13.93,,
6,frame190,Large_Needle_Driver_Right,0.347,1329.0,999.6,1384.6,1002.9,Right_Large_Needle_Driver_labels,55.68,,
6,frame192,Large_Needle_Driver_Right,0.954,924.7,398.3,870.6,427.4,Right_Large_Needle_Driver_labels,61.45,,
6,frame192,Large_Needle_Driver_Left,0.537,789.1,377.6,776.5,364.3,Left_Large_Needle_Driver_labels,18.37,,
6,frame193,Large_Needle_Driver_Right,0.959,1113.5,221.1,1014.8,247.7,Right_Large_Needle_Driver_labels,102.24,,
6,frame194,Large_Needle_Driver_Right,0.764,1095.3,412.9,1099.7,403.6,Right_Large_Needle_Driver_labels,10.30,,
6,frame194,Large_Needle_Driver_Right,0.299,990.5,839.4,1013.0,863.9,Left_Large_Needle_Driver_labels,33.25,,
6,frame195,Large_Needle_Driver_Right,0.963,978.6,114.8,965.9,84.5,Right_Large_Needle_Driver_labels,32.82,,
6,frame195,Large_Needle_Driver_Left,0.585,934.0,802.1,1036.1,813.9,Left_Large_Needle_Driver_labels,102.82,52.0,4.73
6,frame195,Large_Needle_Driver_Right,0.462,934.1,802.1,1036.1,813.9,Left_Large_Needle_Driver_labels,102.73,52.0,4.72
